Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate,True,Pred,P_A,P_D,P_H,Profit,Capital
2021-22,2021-08-13 20:00:00+00:00,Brentford,Arsenal,2,0,H,1.0,0.0,H,M Oliver,8.0,22.0,3.0,4.0,2.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,,,,2.4,0.8,0.8,,,,H,A,0.5959062716075944,0.1505013596482589,0.2535923687441469,-1.0,99.0
2021-22,2021-08-14 12:30:00+00:00,Man United,Leeds,5,1,H,1.0,0.0,H,P Tierney,16.0,10.0,8.0,3.0,5.0,4.0,11.0,9.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,1.8,0.4,2.0,0.8,0.8,-0.1999999999999999,1.0,-0.4,H,A,0.5323069515168575,0.2705799128991339,0.1971131355840082,-1.0,98.0
2021-22,2021-08-14 15:00:00+00:00,Watford,Aston Villa,3,2,H,2.0,0.0,H,M Dean,13.0,11.0,7.0,2.0,2.0,4.0,18.0,13.0,3.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,2.0,0.4,1.6,1.6,0.4,-0.4000000000000001,0.3999999999999999,0.0,H,A,0.3759245063860804,0.2754495764299085,0.3486259171840112,0.0,98.0
2021-22,2021-08-14 15:00:00+00:00,Leicester,Wolves,1,0,H,1.0,0.0,H,C Pawson,9.0,17.0,5.0,3.0,5.0,4.0,6.0,10.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,2.2,0.4,0.4,0.8,0.2,1.4,1.4,0.2,H,H,0.2765388509252124,0.182107587086201,0.541353561988587,1.299114531612049,99.29911453161205
2021-22,2021-08-14 15:00:00+00:00,Chelsea,Crystal Palace,3,0,H,2.0,0.0,H,J Moss,13.0,4.0,6.0,1.0,5.0,2.0,15.0,11.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.4,0.4,1.0,1.6,0.2,0.1999999999999999,-0.2000000000000001,0.2,H,H,0.284027470392113,0.2885290170734529,0.4274435125344338,1.299114531612049,100.5982290632241
2021-22,2021-08-14 15:00:00+00:00,Burnley,Brighton,1,2,A,1.0,0.0,H,D Coote,14.0,14.0,3.0,8.0,7.0,6.0,10.0,7.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.6,2.4,0.0,0.4,1.4,0.0,0.1999999999999999,1.0,0.0,A,H,0.3234621302760137,0.2591511275815724,0.417386742142414,-1.0,99.5982290632241
2021-22,2021-08-14 15:00:00+00:00,Everton,Southampton,3,1,H,0.0,1.0,A,A Madley,14.0,6.0,6.0,3.0,6.0,8.0,13.0,15.0,2.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.0,1.2,0.2,0.6,3.0,0.0,0.4,-1.8,0.2,H,H,0.2278858984964176,0.2578151266320757,0.5142989748715064,1.299114531612049,100.89734359483614
2021-22,2021-08-14 17:30:00+00:00,Norwich,Liverpool,0,3,A,0.0,1.0,A,A Marriner,14.0,19.0,3.0,8.0,3.0,11.0,4.0,14.0,1.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.0,2.2,0.0,2.6,0.8,0.8,-2.6,1.4,-0.8,A,H,0.4042659994047919,0.1284093201637743,0.4673246804314337,-1.0,99.89734359483614
2021-22,2021-08-15 14:00:00+00:00,Newcastle,West Ham,2,4,A,2.0,1.0,H,M Atkinson,17.0,8.0,3.0,9.0,7.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.8,2.0,0.4,2.2,1.6,0.6,-0.4000000000000001,0.3999999999999999,-0.1999999999999999,A,A,0.4591278868922221,0.2623699585641881,0.2785021545435898,2.7006943172546993,102.59803791209085
2021-22,2021-08-15 16:30:00+00:00,Tottenham,Man City,1,0,H,0.0,0.0,D,A Taylor,13.0,18.0,3.0,4.0,3.0,11.0,11.0,8.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.0,1.2,0.6,2.4,1.4,0.8,-0.3999999999999999,-0.1999999999999999,-0.2,H,A,0.4418488644447254,0.3651881336921109,0.1929630018631641,-1.0,101.59803791209085
